2829,0
2425,4
3031,0
2627,0
2831,0
2227,6
2627,4
3041,0
2627,2
2433,2
2627,4
2829,0
2223,8
2627,2
2829,0
3233,0
2829,2
3031,0
3039,0
3233,0
2627,2
3031,0
2627,4
2829,0
3033,0
3031,0
2627,0
2829,0
2627,2
2425,2
2627,0
2833,0
2425,8
3031,0
3031,0
2833,2
2441,2
2627,4
2627,2
2829,0
3031,0
2829,0
2627,2
2829,0
2829,2
2425,6
2425,4
2223,4
2829,4
2223,10
2829,2
2829,2
2627,2
3031,0
2829,0
2627,2
2627,0
2627,4
3233,0
3233,0
2829,2
2627,2
2425,4
3233,0
3233,0
2829,2
3031,0
3031,0
2829,0
2425,2
2831,0
2829,0
2831,0
3233,0
3031,0
2223,10
2425,4
3031,0
2627,4
2425,2
2853,0
3031,0
2627,4
3233,0
2829,0
3031,0
3031,0
2627,4
3031,0
2831,0
2425,8
3031,0
3031,0
2829,0
2845,0
2627,4
3031,0
2829,2
3031,0
3031,0
